year,sample,island,pool,magna,longispina,pulex,poolname
1982,1,F,1,NA,NA,NA,F-1
1982,2,F,1,0,0,0,F-1
1983,1,F,1,0,0,0,F-1
1983,2,F,1,0,0,0,F-1
1984,1,F,1,0,0,0,F-1
1984,2,F,1,0,0,0,F-1
1985,1,F,1,0,0,0,F-1
1985,2,F,1,0,0,0,F-1
1986,1,F,1,0,0,0,F-1
1986,2,F,1,0,0,0,F-1
1987,1,F,1,0,0,0,F-1
1987,2,F,1,0,0,0,F-1
1988,1,F,1,0,0,0,F-1
1988,2,F,1,0,0,0,F-1
1989,1,F,1,0,0,0,F-1
1989,2,F,1,0,0,0,F-1
1990,1,F,1,0,0,0,F-1
1990,2,F,1,0,0,0,F-1
1991,1,F,1,0,0,0,F-1
1991,2,F,1,0,0,0,F-1
1992,1,F,1,0,0,0,F-1
1992,2,F,1,0,0,0,F-1
1993,1,F,1,NA,NA,NA,F-1
1993,2,F,1,0,0,0,F-1
1994,1,F,1,0,0,0,F-1
1994,2,F,1,0,0,0,F-1
1995,1,F,1,0,0,0,F-1
1995,2,F,1,0,0,0,F-1
1996,1,F,1,0,1,0,F-1
1996,2,F,1,0,0,0,F-1
1997,1,F,1,0,0,0,F-1
1997,2,F,1,0,0,0,F-1
1998,1,F,1,0,0,0,F-1
1998,2,F,1,0,0,0,F-1
1999,1,F,1,0,0,0,F-1
1999,2,F,1,0,0,0,F-1
2000,1,F,1,0,0,0,F-1
2000,2,F,1,0,0,0,F-1
2001,1,F,1,0,0,0,F-1
2001,2,F,1,0,0,0,F-1
2002,1,F,1,0,0,0,F-1
2002,2,F,1,0,0,0,F-1
2003,1,F,1,0,0,0,F-1
2003,2,F,1,0,0,0,F-1
2004,1,F,1,0,0,0,F-1
2004,2,F,1,0,0,0,F-1
2005,1,F,1,0,0,0,F-1
2005,2,F,1,0,0,0,F-1
2006,1,F,1,0,0,0,F-1
2006,2,F,1,0,0,0,F-1
2007,1,F,1,0,0,0,F-1
2007,2,F,1,0,0,0,F-1
2008,1,F,1,0,0,0,F-1
2008,2,F,1,0,0,0,F-1
1982,1,F,2,NA,NA,NA,F-2
1982,2,F,2,0,0,0,F-2
1983,1,F,2,0,1,0,F-2
1983,2,F,2,0,1,0,F-2
1984,1,F,2,1,0,0,F-2
1984,2,F,2,1,0,0,F-2
1985,1,F,2,0,0,0,F-2
1985,2,F,2,0,1,0,F-2
1986,1,F,2,0,1,0,F-2
1986,2,F,2,0,1,0,F-2
1987,1,F,2,0,0,0,F-2
1987,2,F,2,0,0,0,F-2
1988,1,F,2,0,0,0,F-2
1988,2,F,2,0,0,0,F-2
1989,1,F,2,0,0,0,F-2
1989,2,F,2,0,0,0,F-2
1990,1,F,2,0,0,0,F-2
1990,2,F,2,0,0,0,F-2
1991,1,F,2,0,0,0,F-2
1991,2,F,2,0,0,0,F-2
1992,1,F,2,0,0,0,F-2
1992,2,F,2,0,0,0,F-2
1993,1,F,2,NA,NA,NA,F-2
1993,2,F,2,0,0,0,F-2
1994,1,F,2,0,1,0,F-2
1994,2,F,2,0,0,0,F-2
1995,1,F,2,0,1,0,F-2
1995,2,F,2,0,0,0,F-2
1996,1,F,2,0,1,0,F-2
1996,2,F,2,0,1,0,F-2
1997,1,F,2,0,0,0,F-2
1997,2,F,2,0,0,0,F-2
1998,1,F,2,0,0,0,F-2
1998,2,F,2,0,1,0,F-2
1999,1,F,2,0,0,0,F-2
1999,2,F,2,0,0,0,F-2
2000,1,F,2,0,0,0,F-2
2000,2,F,2,0,0,0,F-2
2001,1,F,2,0,0,0,F-2
2001,2,F,2,0,0,0,F-2
2002,1,F,2,0,0,0,F-2
2002,2,F,2,0,0,0,F-2
2003,1,F,2,0,0,0,F-2
2003,2,F,2,0,0,0,F-2
2004,1,F,2,0,0,0,F-2
2004,2,F,2,0,0,0,F-2
2005,1,F,2,0,0,0,F-2
2005,2,F,2,0,0,0,F-2
2006,1,F,2,0,0,0,F-2
2006,2,F,2,0,0,0,F-2
2007,1,F,2,0,0,0,F-2
2007,2,F,2,0,0,0,F-2
2008,1,F,2,0,0,0,F-2
2008,2,F,2,0,0,0,F-2
1982,1,F,3,NA,NA,NA,F-3
1982,2,F,3,1,1,0,F-3
1983,1,F,3,1,1,0,F-3
1983,2,F,3,1,1,0,F-3
1984,1,F,3,1,1,0,F-3
1984,2,F,3,0,1,0,F-3
1985,1,F,3,1,1,0,F-3
1985,2,F,3,0,1,0,F-3
1986,1,F,3,0,1,0,F-3
1986,2,F,3,0,1,0,F-3
1987,1,F,3,0,1,0,F-3
1987,2,F,3,0,1,0,F-3
