pool,year,predicted_desiccation_events
F-1,1982,NA
F-10,1982,0
F-11,1982,0
F-12,1982,0
F-2,1982,2
F-3,1982,0
F-4,1982,0
F-5,1982,0
F-6,1982,0
F-7,1982,0
F-8,1982,0
F-9,1982,0
FO-1,1982,0
FO-10,1982,0
FO-11,1982,0
FO-12,1982,1
FO-13,1982,0
FO-14,1982,1
FO-15,1982,1
FO-16,1982,2
FO-17,1982,0
FO-18,1982,0
FO-19,1982,2
FO-2,1982,0
FO-20,1982,4
FO-21,1982,0
FO-21A,1982,NA
FO-22,1982,0
FO-3,1982,2
FO-4,1982,0
FO-5,1982,2
FO-6,1982,0
FO-7,1982,0
FO-8,1982,0
FO-9,1982,0
FS-1,1982,0
FS-10,1982,1
FS-11,1982,0
FS-12,1982,0
FS-13,1982,0
FS-14,1982,0
FS-15,1982,0
FS-16,1982,3
FS-17,1982,0
FS-18,1982,0
FS-19,1982,2
FS-2,1982,1
FS-20,1982,0
FS-21,1982,0
FS-22,1982,0
FS-23,1982,0
FS-24,1982,0
FS-25,1982,0
FS-26,1982,0
FS-27,1982,0
FS-28,1982,1
FS-29,1982,0
FS-3,1982,0
FS-30,1982,0
FS-31,1982,0
FS-32,1982,0
FS-33,1982,0
FS-4,1982,0
FS-5,1982,0
FS-6,1982,0
FS-7,1982,2
FS-8,1982,3
FS-9,1982,1
FSS-1,1982,0
FSS-10,1982,1
FSS-11,1982,2
FSS-12,1982,0
FSS-13,1982,1
FSS-14,1982,0
FSS-15,1982,0
FSS-16,1982,0
FSS-17,1982,0
FSS-18,1982,0
FSS-2,1982,0
FSS-3,1982,1
FSS-4,1982,4
FSS-5,1982,NA
FSS-6,1982,0
FSS-7,1982,NA
FSS-8,1982,NA
FSS-9,1982,0
FW-1,1982,0
G-1,1982,0
G-10,1982,0
G-100,1982,0
G-101,1982,1
G-102,1982,0
G-103,1982,0
G-104,1982,0
G-105,1982,0
G-106,1982,0
G-107,1982,0
G-108,1982,2
G-109,1982,2
G-11,1982,2
G-110,1982,0
G-111,1982,2
G-112,1982,1
G-113,1982,1
G-114,1982,3
G-115,1982,2
G-116,1982,0
G-117,1982,1
G-118,1982,1
G-119,1982,2
G-12,1982,0
G-120,1982,3
G-121,1982,1
G-122,1982,0
G-123,1982,3
G-124,1982,0
G-125,1982,5
G-126,1982,2
G-127,1982,4
G-128,1982,NA
G-13,1982,0
G-14,1982,0
G-15,1982,3
G-16,1982,0
G-17,1982,2
G-18,1982,0
G-19,1982,0
G-2,1982,0
G-20,1982,2
G-21,1982,0
G-22,1982,3
G-23,1982,1
G-24,1982,2
G-25,1982,2
G-26,1982,1
G-27,1982,2
G-28,1982,0
G-29,1982,0
G-29A,1982,0
G-3,1982,2
G-30,1982,0
G-31,1982,0
G-32,1982,0
G-33,1982,0
G-34,1982,1
G-35,1982,1
G-36,1982,0
G-37,1982,0
G-38,1982,0
G-39,1982,0
G-3A,1982,NA
G-4,1982,3
G-40,1982,0
G-41,1982,0
G-42,1982,0
G-43,1982,0
G-44,1982,0
G-45,1982,0
G-46,1982,2
G-47,1982,0
G-48,1982,0
G-49,1982,0
G-5,1982,0
G-50,1982,0
G-51,1982,0
G-52,1982,0
G-53,1982,0
G-54,1982,0
G-55,1982,2
G-56,1982,0
G-57,1982,0
G-58,1982,0
G-59,1982,2
G-5A,1982,NA
G-6,1982,1
