island,pool,latitude_corr,longitude_corr,name
F,1,59.8295898,23.2459356,F-1
F,2,59.8296449,23.2457596,F-2
F,3,59.8296417,23.2453747,F-3
F,4,59.8295961,23.2454876,F-4
F,5,59.8296863,23.2455162,F-5
F,6,59.8297914,23.245404,F-6
F,7,59.829796,23.2452285,F-7
F,8,59.8300128,23.2465756,F-8
F,9,59.8299074,23.2465024,F-9
F,10,59.829517,23.2481044,F-10
F,11,59.8297096,23.247908,F-11
F,12,59.8297709,23.2472583,F-12
FO,1,59.8294618,23.2498133,FO-1
FO,2,59.8294642,23.2498738,FO-2
FO,3,59.8294947,23.2498833,FO-3
FO,4,59.8293166,23.2502318,FO-4
FO,5,59.8293251,23.250291,FO-5
FO,6,59.8293527,23.2502669,FO-6
FO,7,59.8292782,23.2503224,FO-7
FO,8,59.8292603,23.2503837,FO-8
FO,9,59.829294,23.250503,FO-9
FO,10,59.8292011,23.2507105,FO-10
FO,11,59.829159,23.2507804,FO-11
FO,12,59.8291826,23.2508056,FO-12
FO,13,59.8291909,23.2509977,FO-13
FO,14,59.8291834,23.2502083,FO-14
FO,15,59.82911,23.2501075,FO-15
FO,16,59.8290973,23.2500551,FO-16
FO,17,59.8290934,23.2499844,FO-17
FO,18,59.8290836,23.2498803,FO-18
FO,19,59.8290732,23.2499276,FO-19
FO,19A,59.82906,23.24992,FO-19A
FO,20,59.8290569,23.2498353,FO-20
FO,21,59.8292301,23.2495312,FO-21
FO,22,59.8291669,23.2495622,FO-22
FO,18A,59.82913,23.249835,FO-18A
FO,21A,59.82924,23.24956,FO-21A
FS,1,59.8287603,23.2485082,FS-1
FS,2,59.8287886,23.2484703,FS-2
FS,3,59.8287898,23.248425,FS-3
FS,4,59.8287933,23.2480835,FS-4
FS,5,59.8287655,23.2480004,FS-5
FS,6,59.8287627,23.2479323,FS-6
FS,6A,59.8287627,23.24785,FS-6A
FS,7,59.8285251,23.2482369,FS-7
FS,8,59.8285141,23.2483252,FS-8
FS,9,59.8285106,23.248362,FS-9
FS,10,59.8285184,23.2484972,FS-10
FS,11,59.8285294,23.2485671,FS-11
FS,12,59.8285075,23.248605,FS-12
FS,13,59.8285017,23.2486689,FS-13
FS,14,59.8284883,23.2487192,FS-14
FS,15,59.8284405,23.2487925,FS-15
FS,16,59.8285892,23.2486446,FS-16
FS,17,59.8286318,23.248597,FS-17
FS,18,59.828719,23.2486678,FS-18
FS,19,59.828705,23.248705,FS-19
FS,20,59.8286878,23.2487385,FS-20
FS,21,59.8286629,23.2488055,FS-21
FS,22,59.8286464,23.2487686,FS-22
FS,23,59.8286194,23.2487278,FS-23
FS,24,59.8285828,23.2487446,FS-24
FS,25,59.8286502,23.2489417,FS-25
FS,26,59.8287058,23.2488928,FS-26
FS,27,59.8286904,23.2489356,FS-27
FS,28,59.8287264,23.2488607,FS-28
FS,29,59.8287388,23.2489805,FS-29
FS,30,59.8287506,23.2489329,FS-30
FS,31,59.8287521,23.2488572,FS-31
FS,32,59.8286919,23.2490303,FS-32
FS,33,59.8286725,23.2490629,FS-33
FSS,1,59.8282651,23.2479395,FSS-1
FSS,2,59.8282525,23.2480294,FSS-2
FSS,3,59.8282797,23.2478664,FSS-3
FSS,4,59.8282192,23.2480616,FSS-4
FSS,5,59.8282,23.24807,FSS-5
FSS,6,59.8283069,23.2479117,FSS-6
FSS,7,59.8282979,23.247945,FSS-7
FSS,8,59.8283105,23.2479772,FSS-8
FSS,9,59.828341,23.2479038,FSS-9
FSS,10,59.8283464,23.2477716,FSS-10
FSS,11,59.8282502,23.2477406,FSS-11
FSS,12,59.8283129,23.2475077,FSS-12
FSS,13,59.8282669,23.24749,FSS-13
FSS,14,59.8282619,23.2475296,FSS-14
FSS,15,59.8283503,23.2473449,FSS-15
FSS,16,59.8283362,23.2472008,FSS-16
FSS,17,59.8283523,23.2471583,FSS-17
FSS,18,59.8283696,23.2471159,FSS-18
FW,1,59.8285863,23.2456247,FW-1
G,1,59.815597,23.2453065,G-1
G,2,59.8155798,23.2453638,G-2
G,3,59.815525,23.245384,G-3
G,4,59.8155198,23.2454292,G-4
G,5,59.8154131,23.2453432,G-5
G,6,59.8154328,23.245441,G-6
G,7,59.8154685,23.245335,G-7
G,8,59.8154884,23.2453097,G-8
G,9,59.8154595,23.2452451,G-9
G,10,59.8154517,23.2452988,G-10
G,11,59.8154932,23.2452037,G-11
G,12,59.8154274,23.2452246,G-12
G,13,59.8153744,23.2452682,G-13
G,14,59.8153661,23.2454493,G-14
G,15,59.8153426,23.2453879,G-15
G,16,59.8153281,23.2454696,G-16
G,17,59.8153385,23.2453478,G-17
G,18,59.815305,23.2453189,G-18
G,19,59.815315,23.2451921,G-19
G,20,59.8152796,23.2455011,G-20
G,21,59.8152637,23.2455407,G-21
G,22,59.8152107,23.2455072,G-22
G,23,59.8152485,23.2454394,G-23
G,24,59.8152304,23.2453934,G-24
G,25,59.8152107,23.2453761,G-25
G,26,59.8152313,23.2453223,G-26
G,27,59.8152128,23.2452727,G-27
G,28,59.8151584,23.2453806,G-28
G,29,59.8151472,23.2454451,G-29
G,30,59.8151383,23.2456722,G-30
G,31,59.8151011,23.2456173,G-31
G,32,59.8150937,23.2455984,G-32
G,33,59.8150888,23.245504,G-33
G,34,59.815061,23.2455167,G-34
G,35,59.8150476,23.2456923,G-35
G,36,59.8149537,23.2457695,G-36
G,37,59.8149566,23.2456338,G-37
G,38,59.8149224,23.2454169,G-38
G,39,59.8148927,23.245526,G-39
G,40,59.8148471,23.2460548,G-40
G,41,59.8147762,23.2462361,G-41
G,42,59.8147658,23.2458286,G-42
G,43,59.8147001,23.2460635,G-43
G,44,59.8146565,23.2460936,G-44
G,45,59.8146511,23.2461158,G-45
G,46,59.8146254,23.2461528,G-46
G,47,59.8146987,23.2462704,G-47
G,48,59.8146591,23.2463007,G-48
G,49,59.8146453,23.2463398,G-49
G,50,59.8147111,23.2464414,G-50
G,51,59.8145355,23.2464588,G-51
G,52,59.8145285,23.2464861,G-52
G,53,59.8145447,23.2466029,G-53
G,54,59.8147498,23.2464534,G-54
G,55,59.8147391,23.2464982,G-55
G,56,59.8147868,23.2465241,G-56
G,57,59.8149477,23.2463487,G-57
G,58,59.8148564,23.2465973,G-58
G,59,59.8149898,23.24648,G-59
G,60,59.8147568,23.2467051,G-60
G,61,59.8146783,23.2466808,G-61
G,62,59.8146175,23.2468543,G-62
G,63,59.8146401,23.2469227,G-63
G,64,59.8146482,23.2469855,G-64
G,65,59.8146133,23.2470401,G-65
G,66,59.8146457,23.2471068,G-66
G,67,59.8146223,23.2471472,G-67
G,68,59.8147086,23.2470767,G-68
G,69,59.8147058,23.2471329,G-69
G,70,59.8146578,23.2471334,G-70
G,71,59.8146671,23.2471982,G-71
G,72,59.8146497,23.2472244,G-72
G,73,59.8146911,23.2472934,G-73
G,74,59.8146512,23.247351,G-74
G,75,59.8146356,23.2474357,G-75
G,76,59.8147006,23.2474104,G-76
G,77,59.8147019,23.2475843,G-77
G,78,59.8147244,23.2475576,G-78
G,79,59.8147453,23.2476111,G-79
G,80,59.814594,23.2476745,G-80
G,81,59.8146761,23.2476875,G-81
G,82,59.8146638,23.2477037,G-82
G,83,59.81459,23.24778,G-83
G,84,59.814685,23.2478109,G-84
G,85,59.814642,23.2479395,G-85
G,86,59.8146966,23.2478276,G-86
G,87,59.8146811,23.2478996,G-87
G,88,59.8147167,23.24796,G-88
G,89,59.8147945,23.2476114,G-89
G,90,59.8148591,23.2477234,G-90
G,91,59.8148989,23.2477232,G-91
G,92,59.8148886,23.2478611,G-92
G,93,59.8150279,23.2480671,G-93
G,94,59.8149926,23.2481191,G-94
G,95,59.8149724,23.2481769,G-95
G,96,59.8149585,23.2480876,G-96
G,97,59.8149393,23.2481742,G-97
G,98,59.8149046,23.2482714,G-98
G,99,59.8149034,23.2482028,G-99
G,100,59.8148733,23.2483379,G-100
G,101,59.8148131,23.2483052,G-101
G,102,59.8149671,23.2482605,G-102
G,103,59.814994,23.2483864,G-103
G,104,59.8148946,23.2484465,G-104
G,105,59.8152667,23.2480813,G-105
G,106,59.8152972,23.2481226,G-106
G,107,59.8152881,23.248177,G-107
G,108,59.8152954,23.2479969,G-108
G,109,59.815376,23.2479785,G-109
G,110,59.8154035,23.248013,G-110
G,111,59.8158719,23.2466433,G-111
G,112,59.8158579,23.246599,G-112
G,113,59.8158364,23.2466186,G-113
G,114,59.8158461,23.2466441,G-114
G,115,59.815681,23.2463705,G-115
G,116,59.8155796,23.2460841,G-116
G,117,59.8155535,23.2460887,G-117
G,118,59.8155306,23.2460856,G-118
G,119,59.8155354,23.2460408,G-119
G,120,59.8155433,23.2460203,G-120
G,121,59.8155234,23.2460117,G-121
G,122,59.8154977,23.2460696,G-122
G,123,59.8154846,23.2460246,G-123
